SCHOOL YEAR,SECTOR,REGION,GRADE LEVEL,GENDER,NUMBER OF ENROLLEES
2010-2011,SUCSLUCS,REGION 9,KINDERGARTEN,MALE,  24 
2010-2011,SUCSLUCS,REGION 10,KINDERGARTEN,MALE,  21 
2010-2011,SUCSLUCS,REGION 11,KINDERGARTEN,MALE, - 
2010-2011,SUCSLUCS,REGION 12,KINDERGARTEN,MALE,  47 
2010-2011,SUCSLUCS,CARAGA,KINDERGARTEN,MALE, - 
2010-2011,SUCSLUCS,BARMM,KINDERGARTEN,MALE,  236 
2010-2011,SUCSLUCS,CAR,KINDERGARTEN,MALE,  20 
2010-2011,SUCSLUCS,NCR,KINDERGARTEN,MALE,  103 
2010-2011,SUCSLUCS,REGION 1,KINDERGARTEN,FEMALE,  252 
2010-2011,SUCSLUCS,REGION 2,KINDERGARTEN,FEMALE, - 
2010-2011,SUCSLUCS,REGION 3,KINDERGARTEN,FEMALE, - 
2010-2011,SUCSLUCS,REGION 4A,KINDERGARTEN,FEMALE,  332 
2010-2011,SUCSLUCS,REGION 4B,KINDERGARTEN,FEMALE,  42 
2010-2011,SUCSLUCS,REGION 5,KINDERGARTEN,FEMALE,  86 
2010-2011,SUCSLUCS,REGION 6,KINDERGARTEN,FEMALE,  50 
2010-2011,SUCSLUCS,REGION 7,KINDERGARTEN,FEMALE,  270 
2010-2011,SUCSLUCS,REGION 8,KINDERGARTEN,FEMALE,  19 
2010-2011,SUCSLUCS,REGION 9,KINDERGARTEN,FEMALE,  32 
2010-2011,SUCSLUCS,REGION 10,KINDERGARTEN,FEMALE,  36 
2010-2011,SUCSLUCS,REGION 11,KINDERGARTEN,FEMALE, - 
2010-2011,SUCSLUCS,REGION 12,KINDERGARTEN,FEMALE,  42 
2010-2011,SUCSLUCS,CARAGA,KINDERGARTEN,FEMALE, - 
2010-2011,SUCSLUCS,BARMM,KINDERGARTEN,FEMALE,  242 
2010-2011,SUCSLUCS,CAR,KINDERGARTEN,FEMALE,  18 
2010-2011,SUCSLUCS,NCR,KINDERGARTEN,FEMALE,  105 
2010-2011,PUBLIC,REGION 1,GRADE 1,MALE,"  64,717 "
2010-2011,PUBLIC,REGION 2,GRADE 1,MALE,"  45,039 "
2010-2011,PUBLIC,REGION 3,GRADE 1,MALE,"  138,511 "
2010-2011,PUBLIC,REGION 4A,GRADE 1,MALE,"  167,419 "
2010-2011,PUBLIC,REGION 4B,GRADE 1,MALE,"  54,783 "
2010-2011,PUBLIC,REGION 5,GRADE 1,MALE,"  116,207 "
2010-2011,PUBLIC,REGION 6,GRADE 1,MALE,"  119,773 "
2010-2011,PUBLIC,REGION 7,GRADE 1,MALE,"  115,038 "
2010-2011,PUBLIC,REGION 8,GRADE 1,MALE,"  83,838 "
2010-2011,PUBLIC,REGION 9,GRADE 1,MALE,"  75,603 "
2010-2011,PUBLIC,REGION 10,GRADE 1,MALE,"  81,064 "
2010-2011,PUBLIC,REGION 11,GRADE 1,MALE,"  90,284 "
2010-2011,PUBLIC,REGION 12,GRADE 1,MALE,"  75,370 "
2010-2011,PUBLIC,CARAGA,GRADE 1,MALE,"  48,565 "
2010-2011,PUBLIC,BARMM,GRADE 1,MALE,"  96,364 "
2010-2011,PUBLIC,CAR,GRADE 1,MALE,"  24,630 "
2010-2011,PUBLIC,NCR,GRADE 1,MALE,"  128,292 "
2010-2011,PRIVATE,REGION 1,GRADE 1,MALE,"  4,676 "
2010-2011,PRIVATE,REGION 2,GRADE 1,MALE,"  2,367 "
2010-2011,PRIVATE,REGION 3,GRADE 1,MALE,"  15,629 "
2010-2011,PRIVATE,REGION 4A,GRADE 1,MALE,"  22,742 "
2010-2011,PRIVATE,REGION 4B,GRADE 1,MALE,"  1,399 "
2010-2011,PRIVATE,REGION 5,GRADE 1,MALE,"  2,923 "
2010-2011,PRIVATE,REGION 6,GRADE 1,MALE,"  4,900 "
2010-2011,PRIVATE,REGION 7,GRADE 1,MALE,"  6,170 "
2010-2011,PRIVATE,REGION 8,GRADE 1,MALE,"  1,472 "
2010-2011,PRIVATE,REGION 9,GRADE 1,MALE,"  1,354 "
2010-2011,PRIVATE,REGION 10,GRADE 1,MALE,"  3,819 "
2010-2011,PRIVATE,REGION 11,GRADE 1,MALE,"  4,718 "
2010-2011,PRIVATE,REGION 12,GRADE 1,MALE,"  3,375 "
2010-2011,PRIVATE,CARAGA,GRADE 1,MALE,"  1,018 "
2010-2011,PRIVATE,BARMM,GRADE 1,MALE,"  1,389 "
2010-2011,PRIVATE,CAR,GRADE 1,MALE,"  2,211 "
2010-2011,PRIVATE,NCR,GRADE 1,MALE,"  25,955 "
2010-2011,SUCSLUCS,REGION 1,GRADE 1,MALE,  142 
2010-2011,SUCSLUCS,REGION 2,GRADE 1,MALE, - 
2010-2011,SUCSLUCS,REGION 3,GRADE 1,MALE, - 
2010-2011,SUCSLUCS,REGION 4A,GRADE 1,MALE,  190 
2010-2011,SUCSLUCS,REGION 4B,GRADE 1,MALE,  79 
2010-2011,SUCSLUCS,REGION 5,GRADE 1,MALE,  90 
2010-2011,SUCSLUCS,REGION 6,GRADE 1,MALE,  115 
2010-2011,SUCSLUCS,REGION 7,GRADE 1,MALE,  29 
2010-2011,SUCSLUCS,REGION 8,GRADE 1,MALE,  45 
2010-2011,SUCSLUCS,REGION 9,GRADE 1,MALE,  64 
2010-2011,SUCSLUCS,REGION 10,GRADE 1,MALE,  40 
2010-2011,SUCSLUCS,REGION 11,GRADE 1,MALE, - 
2010-2011,SUCSLUCS,REGION 12,GRADE 1,MALE,  44 
2010-2011,SUCSLUCS,CARAGA,GRADE 1,MALE,  15 
2010-2011,SUCSLUCS,BARMM,GRADE 1,MALE,  131 
2010-2011,SUCSLUCS,CAR,GRADE 1,MALE,  65 
2010-2011,SUCSLUCS,NCR,GRADE 1,MALE,  168 
2010-2011,PUBLIC,REGION 1,GRADE 1,FEMALE,"  55,287 "
2010-2011,PUBLIC,REGION 2,GRADE 1,FEMALE,"  38,920 "
2010-2011,PUBLIC,REGION 3,GRADE 1,FEMALE,"  119,724 "
2010-2011,PUBLIC,REGION 4A,GRADE 1,FEMALE,"  144,143 "
2010-2011,PUBLIC,REGION 4B,GRADE 1,FEMALE,"  45,608 "
2010-2011,PUBLIC,REGION 5,GRADE 1,FEMALE,"  96,952 "
2010-2011,PUBLIC,REGION 6,GRADE 1,FEMALE,"  98,263 "
2010-2011,PUBLIC,REGION 7,GRADE 1,FEMALE,"  95,311 "
2010-2011,PUBLIC,REGION 8,GRADE 1,FEMALE,"  70,064 "
2010-2011,PUBLIC,REGION 9,GRADE 1,FEMALE,"  63,407 "
2010-2011,PUBLIC,REGION 10,GRADE 1,FEMALE,"  67,797 "
2010-2011,PUBLIC,REGION 11,GRADE 1,FEMALE,"  74,176 "
2010-2011,PUBLIC,REGION 12,GRADE 1,FEMALE,"  65,052 "
2010-2011,PUBLIC,CARAGA,GRADE 1,FEMALE,"  40,175 "
2010-2011,PUBLIC,BARMM,GRADE 1,FEMALE,"  102,878 "
2010-2011,PUBLIC,CAR,GRADE 1,FEMALE,"  20,615 "
2010-2011,PUBLIC,NCR,GRADE 1,FEMALE,"  113,518 "
2010-2011,PRIVATE,REGION 1,GRADE 1,FEMALE,"  4,349 "
2010-2011,PRIVATE,REGION 2,GRADE 1,FEMALE,"  2,203 "
2010-2011,PRIVATE,REGION 3,GRADE 1,FEMALE,"  14,476 "
2010-2011,PRIVATE,REGION 4A,GRADE 1,FEMALE,"  21,348 "
2010-2011,PRIVATE,REGION 4B,GRADE 1,FEMALE,"  1,316 "
2010-2011,PRIVATE,REGION 5,GRADE 1,FEMALE,"  2,780 "
2010-2011,PRIVATE,REGION 6,GRADE 1,FEMALE,"  4,601 "
2010-2011,PRIVATE,REGION 7,GRADE 1,FEMALE,"  5,999 "
2010-2011,PRIVATE,REGION 8,GRADE 1,FEMALE,"  1,440 "
2010-2011,PRIVATE,REGION 9,GRADE 1,FEMALE,"  1,228 "
2010-2011,PRIVATE,REGION 10,GRADE 1,FEMALE,"  3,334 "
2010-2011,PRIVATE,REGION 11,GRADE 1,FEMALE,"  4,117 "
2010-2011,PRIVATE,REGION 12,GRADE 1,FEMALE,"  3,038 "
2010-2011,PRIVATE,CARAGA,GRADE 1,FEMALE,  941 
2010-2011,PRIVATE,BARMM,GRADE 1,FEMALE,"  1,409 "
2010-2011,PRIVATE,CAR,GRADE 1,FEMALE,"  2,093 "
2010-2011,PRIVATE,NCR,GRADE 1,FEMALE,"  24,443 "
2010-2011,SUCSLUCS,REGION 1,GRADE 1,FEMALE,  179 
2010-2011,SUCSLUCS,REGION 2,GRADE 1,FEMALE, - 
2010-2011,SUCSLUCS,REGION 3,GRADE 1,FEMALE, - 
2010-2011,SUCSLUCS,REGION 4A,GRADE 1,FEMALE,  200 
2010-2011,SUCSLUCS,REGION 4B,GRADE 1,FEMALE,  92 
2010-2011,SUCSLUCS,REGION 5,GRADE 1,FEMALE,  115 
2010-2011,SUCSLUCS,REGION 6,GRADE 1,FEMALE,  131 
2010-2011,SUCSLUCS,REGION 7,GRADE 1,FEMALE,  28 
2010-2011,SUCSLUCS,REGION 8,GRADE 1,FEMALE,  43 
2010-2011,SUCSLUCS,REGION 9,GRADE 1,FEMALE,  81 
2010-2011,SUCSLUCS,REGION 10,GRADE 1,FEMALE,  27 
2010-2011,SUCSLUCS,REGION 11,GRADE 1,FEMALE, - 
2010-2011,SUCSLUCS,REGION 12,GRADE 1,FEMALE,  44 
2010-2011,SUCSLUCS,CARAGA,GRADE 1,FEMALE,  14 
2010-2011,SUCSLUCS,BARMM,GRADE 1,FEMALE,  131 
2010-2011,SUCSLUCS,CAR,GRADE 1,FEMALE,  54 
2010-2011,SUCSLUCS,NCR,GRADE 1,FEMALE,  150 
2010-2011,PUBLIC,REGION 1,GRADE 2,MALE,"  56,280 "
2010-2011,PUBLIC,REGION 2,GRADE 2,MALE,"  38,802 "
2010-2011,PUBLIC,REGION 3,GRADE 2,MALE,"  115,800 "
2010-2011,PUBLIC,REGION 4A,GRADE 2,MALE,"  137,063 "
2010-2011,PUBLIC,REGION 4B,GRADE 2,MALE,"  43,943 "
2010-2011,PUBLIC,REGION 5,GRADE 2,MALE,"  90,823 "
2010-2011,PUBLIC,REGION 6,GRADE 2,MALE,"  94,388 "
2010-2011,PUBLIC,REGION 7,GRADE 2,MALE,"  91,483 "
2010-2011,PUBLIC,REGION 8,GRADE 2,MALE,"  66,200 "
2010-2011,PUBLIC,REGION 9,GRADE 2,MALE,"  53,978 "
2010-2011,PUBLIC,REGION 10,GRADE 2,MALE,"  60,383 "
2010-2011,PUBLIC,REGION 11,GRADE 2,MALE,"  62,285 "
2010-2011,PUBLIC,REGION 12,GRADE 2,MALE,"  58,441 "
2010-2011,PUBLIC,CARAGA,GRADE 2,MALE,"  37,696 "
2010-2011,PUBLIC,BARMM,GRADE 2,MALE,"  72,828 "
2010-2011,PUBLIC,CAR,GRADE 2,MALE,"  20,313 "
2010-2011,PUBLIC,NCR,GRADE 2,MALE,"  108,284 "
2010-2011,PRIVATE,REGION 1,GRADE 2,MALE,"  4,481 "
2010-2011,PRIVATE,REGION 2,GRADE 2,MALE,"  2,210 "
2010-2011,PRIVATE,REGION 3,GRADE 2,MALE,"  15,484 "
2010-2011,PRIVATE,REGION 4A,GRADE 2,MALE,"  22,185 "
2010-2011,PRIVATE,REGION 4B,GRADE 2,MALE,"  1,400 "
2010-2011,PRIVATE,REGION 5,GRADE 2,MALE,"  2,807 "
2010-2011,PRIVATE,REGION 6,GRADE 2,MALE,"  4,624 "
2010-2011,PRIVATE,REGION 7,GRADE 2,MALE,"  6,277 "
2010-2011,PRIVATE,REGION 8,GRADE 2,MALE,"  1,460 "
2010-2011,PRIVATE,REGION 9,GRADE 2,MALE,"  1,258 "
2010-2011,PRIVATE,REGION 10,GRADE 2,MALE,"  3,334 "
2010-2011,PRIVATE,REGION 11,GRADE 2,MALE,"  4,251 "
2010-2011,PRIVATE,REGION 12,GRADE 2,MALE,"  3,155 "
2010-2011,PRIVATE,CARAGA,GRADE 2,MALE,  971 
2010-2011,PRIVATE,BARMM,GRADE 2,MALE,"  1,300 "
2010-2011,PRIVATE,CAR,GRADE 2,MALE,"  2,087 "
2010-2011,PRIVATE,NCR,GRADE 2,MALE,"  25,664 "
2010-2011,SUCSLUCS,REGION 1,GRADE 2,MALE,  162 
2010-2011,SUCSLUCS,REGION 2,GRADE 2,MALE, - 
2010-2011,SUCSLUCS,REGION 3,GRADE 2,MALE, - 
2010-2011,SUCSLUCS,REGION 4A,GRADE 2,MALE,  207 
2010-2011,SUCSLUCS,REGION 4B,GRADE 2,MALE,  86 
2010-2011,SUCSLUCS,REGION 5,GRADE 2,MALE,  118 
2010-2011,SUCSLUCS,REGION 6,GRADE 2,MALE,  122 
2010-2011,SUCSLUCS,REGION 7,GRADE 2,MALE,  20 
2010-2011,SUCSLUCS,REGION 8,GRADE 2,MALE,  43 
2010-2011,SUCSLUCS,REGION 9,GRADE 2,MALE,  78 
2010-2011,SUCSLUCS,REGION 10,GRADE 2,MALE,  42 
2010-2011,SUCSLUCS,REGION 11,GRADE 2,MALE, - 
2010-2011,SUCSLUCS,REGION 12,GRADE 2,MALE,  33 
2010-2011,SUCSLUCS,CARAGA,GRADE 2,MALE,  7 
2010-2011,SUCSLUCS,BARMM,GRADE 2,MALE,  103 
2010-2011,SUCSLUCS,CAR,GRADE 2,MALE,  53 
2010-2011,SUCSLUCS,NCR,GRADE 2,MALE,  139 
2010-2011,PUBLIC,REGION 1,GRADE 2,FEMALE,"  50,018 "
2010-2011,PUBLIC,REGION 2,GRADE 2,FEMALE,"  34,872 "
2010-2011,PUBLIC,REGION 3,GRADE 2,FEMALE,"  105,307 "
2010-2011,PUBLIC,REGION 4A,GRADE 2,FEMALE,"  124,254 "
2010-2011,PUBLIC,REGION 4B,GRADE 2,FEMALE,"  38,799 "
2010-2011,PUBLIC,REGION 5,GRADE 2,FEMALE,"  79,794 "
2010-2011,PUBLIC,REGION 6,GRADE 2,FEMALE,"  83,581 "
2010-2011,PUBLIC,REGION 7,GRADE 2,FEMALE,"  80,336 "
2010-2011,PUBLIC,REGION 8,GRADE 2,FEMALE,"  59,425 "
2010-2011,PUBLIC,REGION 9,GRADE 2,FEMALE,"  48,424 "
2010-2011,PUBLIC,REGION 10,GRADE 2,FEMALE,"  53,781 "
2010-2011,PUBLIC,REGION 11,GRADE 2,FEMALE,"  55,297 "
2010-2011,PUBLIC,REGION 12,GRADE 2,FEMALE,"  53,316 "
2010-2011,PUBLIC,CARAGA,GRADE 2,FEMALE,"  33,070 "
2010-2011,PUBLIC,BARMM,GRADE 2,FEMALE,"  79,247 "
2010-2011,PUBLIC,CAR,GRADE 2,FEMALE,"  17,696 "
2010-2011,PUBLIC,NCR,GRADE 2,FEMALE,"  100,437 "
2010-2011,PRIVATE,REGION 1,GRADE 2,FEMALE,"  4,195 "
2010-2011,PRIVATE,REGION 2,GRADE 2,FEMALE,"  2,083 "
2010-2011,PRIVATE,REGION 3,GRADE 2,FEMALE,"  14,307 "
2010-2011,PRIVATE,REGION 4A,GRADE 2,FEMALE,"  20,955 "
2010-2011,PRIVATE,REGION 4B,GRADE 2,FEMALE,"  1,216 "
2010-2011,PRIVATE,REGION 5,GRADE 2,FEMALE,"  2,661 "
2010-2011,PRIVATE,REGION 6,GRADE 2,FEMALE,"  4,386 "
2010-2011,PRIVATE,REGION 7,GRADE 2,FEMALE,"  5,661 "
2010-2011,PRIVATE,REGION 8,GRADE 2,FEMALE,"  1,347 "
2010-2011,PRIVATE,REGION 9,GRADE 2,FEMALE,"  1,099 "
2010-2011,PRIVATE,REGION 10,GRADE 2,FEMALE,"  3,082 "
2010-2011,PRIVATE,REGION 11,GRADE 2,FEMALE,"  3,861 "
2010-2011,PRIVATE,REGION 12,GRADE 2,FEMALE,"  2,753 "
2010-2011,PRIVATE,CARAGA,GRADE 2,FEMALE,  785 
2010-2011,PRIVATE,BARMM,GRADE 2,FEMALE,"  1,218 "
2010-2011,PRIVATE,CAR,GRADE 2,FEMALE,"  1,985 "
2010-2011,PRIVATE,NCR,GRADE 2,FEMALE,"  24,433 "
2010-2011,SUCSLUCS,REGION 1,GRADE 2,FEMALE,  147 
2010-2011,SUCSLUCS,REGION 2,GRADE 2,FEMALE, - 
2010-2011,SUCSLUCS,REGION 3,GRADE 2,FEMALE, - 
2010-2011,SUCSLUCS,REGION 4A,GRADE 2,FEMALE,  187 
2010-2011,SUCSLUCS,REGION 4B,GRADE 2,FEMALE,  84 
2010-2011,SUCSLUCS,REGION 5,GRADE 2,FEMALE,  111 
2010-2011,SUCSLUCS,REGION 6,GRADE 2,FEMALE,  131 
2010-2011,SUCSLUCS,REGION 7,GRADE 2,FEMALE,  25 
2010-2011,SUCSLUCS,REGION 8,GRADE 2,FEMALE,  38 
2010-2011,SUCSLUCS,REGION 9,GRADE 2,FEMALE,  73 
2010-2011,SUCSLUCS,REGION 10,GRADE 2,FEMALE,  36 
2010-2011,SUCSLUCS,REGION 11,GRADE 2,FEMALE, - 
2010-2011,SUCSLUCS,REGION 12,GRADE 2,FEMALE,  36 
2010-2011,SUCSLUCS,CARAGA,GRADE 2,FEMALE,  24 
2010-2011,SUCSLUCS,BARMM,GRADE 2,FEMALE,  104 
2010-2011,SUCSLUCS,CAR,GRADE 2,FEMALE,  48 
2010-2011,SUCSLUCS,NCR,GRADE 2,FEMALE,  130 
2010-2011,PUBLIC,REGION 1,GRADE 3,MALE,"  52,969 "
2010-2011,PUBLIC,REGION 2,GRADE 3,MALE,"  36,355 "
2010-2011,PUBLIC,REGION 3,GRADE 3,MALE,"  109,890 "
2010-2011,PUBLIC,REGION 4A,GRADE 3,MALE,"  131,100 "
2010-2011,PUBLIC,REGION 4B,GRADE 3,MALE,"  39,786 "
2010-2011,PUBLIC,REGION 5,GRADE 3,MALE,"  83,112 "
2010-2011,PUBLIC,REGION 6,GRADE 3,MALE,"  84,749 "
2010-2011,PUBLIC,REGION 7,GRADE 3,MALE,"  84,881 "
2010-2011,PUBLIC,REGION 8,GRADE 3,MALE,"  61,356 "
2010-2011,PUBLIC,REGION 9,GRADE 3,MALE,"  46,911 "
2010-2011,PUBLIC,REGION 10,GRADE 3,MALE,"  54,004 "
2010-2011,PUBLIC,REGION 11,GRADE 3,MALE,"  54,465 "
2010-2011,PUBLIC,REGION 12,GRADE 3,MALE,"  52,236 "
2010-2011,PUBLIC,CARAGA,GRADE 3,MALE,"  33,840 "
2010-2011,PUBLIC,BARMM,GRADE 3,MALE,"  57,691 "
2010-2011,PUBLIC,CAR,GRADE 3,MALE,"  18,867 "
2010-2011,PUBLIC,NCR,GRADE 3,MALE,"  105,248 "
2010-2011,PRIVATE,REGION 1,GRADE 3,MALE,"  4,362 "
2010-2011,PRIVATE,REGION 2,GRADE 3,MALE,"  2,166 "
2010-2011,PRIVATE,REGION 3,GRADE 3,MALE,"  14,876 "
2010-2011,PRIVATE,REGION 4A,GRADE 3,MALE,"  21,723 "
2010-2011,PRIVATE,REGION 4B,GRADE 3,MALE,"  1,298 "
2010-2011,PRIVATE,REGION 5,GRADE 3,MALE,"  2,541 "
2010-2011,PRIVATE,REGION 6,GRADE 3,MALE,"  4,348 "
2010-2011,PRIVATE,REGION 7,GRADE 3,MALE,"  6,027 "
2010-2011,PRIVATE,REGION 8,GRADE 3,MALE,"  1,470 "
2010-2011,PRIVATE,REGION 9,GRADE 3,MALE,"  1,149 "
2010-2011,PRIVATE,REGION 10,GRADE 3,MALE,"  3,274 "
2010-2011,PRIVATE,REGION 11,GRADE 3,MALE,"  4,098 "
2010-2011,PRIVATE,REGION 12,GRADE 3,MALE,"  2,936 "
2010-2011,PRIVATE,CARAGA,GRADE 3,MALE,  907 
2010-2011,PRIVATE,BARMM,GRADE 3,MALE,"  1,010 "
2010-2011,PRIVATE,CAR,GRADE 3,MALE,"  1,994 "
2010-2011,PRIVATE,NCR,GRADE 3,MALE,"  25,396 "
2010-2011,SUCSLUCS,REGION 1,GRADE 3,MALE,  141 
2010-2011,SUCSLUCS,REGION 2,GRADE 3,MALE, - 
2010-2011,SUCSLUCS,REGION 3,GRADE 3,MALE, - 
2010-2011,SUCSLUCS,REGION 4A,GRADE 3,MALE,  210 
2010-2011,SUCSLUCS,REGION 4B,GRADE 3,MALE,  102 
2010-2011,SUCSLUCS,REGION 5,GRADE 3,MALE,  99 
2010-2011,SUCSLUCS,REGION 6,GRADE 3,MALE,  115 
2010-2011,SUCSLUCS,REGION 7,GRADE 3,MALE,  29 
2010-2011,SUCSLUCS,REGION 8,GRADE 3,MALE,  46 
2010-2011,SUCSLUCS,REGION 9,GRADE 3,MALE,  72 
2010-2011,SUCSLUCS,REGION 10,GRADE 3,MALE,  34 
2010-2011,SUCSLUCS,REGION 11,GRADE 3,MALE, - 
2010-2011,SUCSLUCS,REGION 12,GRADE 3,MALE,  30 
2010-2011,SUCSLUCS,CARAGA,GRADE 3,MALE,  13 
2010-2011,SUCSLUCS,BARMM,GRADE 3,MALE,  83 
2010-2011,SUCSLUCS,CAR,GRADE 3,MALE,  53 
2010-2011,SUCSLUCS,NCR,GRADE 3,MALE,  136 
2010-2011,PUBLIC,REGION 1,GRADE 3,FEMALE,"  48,424 "
