SCHOOL YEAR,SECTOR,REGION,GRADE LEVEL,GENDER,NUMBER OF ENROLLEES
2010-2011,PRIVATE,CAR,GRADE 7,MALE,4682
2010-2011,PRIVATE,CAR,GRADE 8,FEMALE,4380
2010-2011,PRIVATE,CAR,GRADE 8,MALE,4072
2010-2011,PRIVATE,CAR,GRADE 9,FEMALE,4186
2010-2011,PRIVATE,CAR,GRADE 9,MALE,3768
2010-2011,PRIVATE,CAR,KINDERGARTEN,FEMALE,2975
2010-2011,PRIVATE,CAR,KINDERGARTEN,MALE,3332
2010-2011,PRIVATE,CARAGA,GRADE 1,FEMALE,941
2010-2011,PRIVATE,CARAGA,GRADE 1,MALE,1018
2010-2011,PRIVATE,CARAGA,GRADE 10,FEMALE,2940
2010-2011,PRIVATE,CARAGA,GRADE 10,MALE,2950
2010-2011,PRIVATE,CARAGA,GRADE 2,FEMALE,785
2010-2011,PRIVATE,CARAGA,GRADE 2,MALE,971
2010-2011,PRIVATE,CARAGA,GRADE 3,FEMALE,788
2010-2011,PRIVATE,CARAGA,GRADE 3,MALE,907
2010-2011,PRIVATE,CARAGA,GRADE 4,FEMALE,735
2010-2011,PRIVATE,CARAGA,GRADE 4,MALE,818
2010-2011,PRIVATE,CARAGA,GRADE 5,FEMALE,670
2010-2011,PRIVATE,CARAGA,GRADE 5,MALE,736
2010-2011,PRIVATE,CARAGA,GRADE 6,FEMALE,598
2010-2011,PRIVATE,CARAGA,GRADE 6,MALE,749
2010-2011,PRIVATE,CARAGA,GRADE 7,FEMALE,3322
2010-2011,PRIVATE,CARAGA,GRADE 7,MALE,3343
2010-2011,PRIVATE,CARAGA,GRADE 8,FEMALE,3118
2010-2011,PRIVATE,CARAGA,GRADE 8,MALE,3155
2010-2011,PRIVATE,CARAGA,GRADE 9,FEMALE,2938
2010-2011,PRIVATE,CARAGA,GRADE 9,MALE,3060
2010-2011,PRIVATE,CARAGA,KINDERGARTEN,FEMALE,3326
2010-2011,PRIVATE,CARAGA,KINDERGARTEN,MALE,3383
2010-2011,PRIVATE,NCR,GRADE 1,FEMALE,24443
2010-2011,PRIVATE,NCR,GRADE 1,MALE,25955
2010-2011,PRIVATE,NCR,GRADE 10,FEMALE,24961
2010-2011,PRIVATE,NCR,GRADE 10,MALE,25046
2010-2011,PRIVATE,NCR,GRADE 2,FEMALE,24433
2010-2011,PRIVATE,NCR,GRADE 2,MALE,25664
2010-2011,PRIVATE,NCR,GRADE 3,FEMALE,24287
2010-2011,PRIVATE,NCR,GRADE 3,MALE,25396
2010-2011,PRIVATE,NCR,GRADE 4,FEMALE,24308
2010-2011,PRIVATE,NCR,GRADE 4,MALE,25389
2010-2011,PRIVATE,NCR,GRADE 5,FEMALE,23617
2010-2011,PRIVATE,NCR,GRADE 5,MALE,24434
2010-2011,PRIVATE,NCR,GRADE 6,FEMALE,25300
2010-2011,PRIVATE,NCR,GRADE 6,MALE,26369
2010-2011,PRIVATE,NCR,GRADE 7,FEMALE,28655
2010-2011,PRIVATE,NCR,GRADE 7,MALE,29848
2010-2011,PRIVATE,NCR,GRADE 8,FEMALE,27513
2010-2011,PRIVATE,NCR,GRADE 8,MALE,28331
2010-2011,PRIVATE,NCR,GRADE 9,FEMALE,26489
2010-2011,PRIVATE,NCR,GRADE 9,MALE,26734
2010-2011,PRIVATE,NCR,KINDERGARTEN,FEMALE,42989
2010-2011,PRIVATE,NCR,KINDERGARTEN,MALE,45337
2010-2011,PRIVATE,REGION 1,GRADE 1,FEMALE,4349
2010-2011,PRIVATE,REGION 1,GRADE 1,MALE,4676
2010-2011,PRIVATE,REGION 1,GRADE 10,FEMALE,8216
2010-2011,PRIVATE,REGION 1,GRADE 10,MALE,7945
2010-2011,PRIVATE,REGION 1,GRADE 2,FEMALE,4195
2010-2011,PRIVATE,REGION 1,GRADE 2,MALE,4481
2010-2011,PRIVATE,REGION 1,GRADE 3,FEMALE,3990
2010-2011,PRIVATE,REGION 1,GRADE 3,MALE,4362
2010-2011,PRIVATE,REGION 1,GRADE 4,FEMALE,3906
2010-2011,PRIVATE,REGION 1,GRADE 4,MALE,4093
2010-2011,PRIVATE,REGION 1,GRADE 5,FEMALE,3717
2010-2011,PRIVATE,REGION 1,GRADE 5,MALE,3895
2010-2011,PRIVATE,REGION 1,GRADE 6,FEMALE,3501
2010-2011,PRIVATE,REGION 1,GRADE 6,MALE,3693
2010-2011,PRIVATE,REGION 1,GRADE 7,FEMALE,9424
2010-2011,PRIVATE,REGION 1,GRADE 7,MALE,9935
2010-2011,PRIVATE,REGION 1,GRADE 8,FEMALE,8988
2010-2011,PRIVATE,REGION 1,GRADE 8,MALE,9210
2010-2011,PRIVATE,REGION 1,GRADE 9,FEMALE,8582
2010-2011,PRIVATE,REGION 1,GRADE 9,MALE,8564
2010-2011,PRIVATE,REGION 1,KINDERGARTEN,FEMALE,8932
2010-2011,PRIVATE,REGION 1,KINDERGARTEN,MALE,9046
2010-2011,PRIVATE,REGION 10,GRADE 1,FEMALE,3334
2010-2011,PRIVATE,REGION 10,GRADE 1,MALE,3819
2010-2011,PRIVATE,REGION 10,GRADE 10,FEMALE,8354
2010-2011,PRIVATE,REGION 10,GRADE 10,MALE,8122
2010-2011,PRIVATE,REGION 10,GRADE 2,FEMALE,3082
2010-2011,PRIVATE,REGION 10,GRADE 2,MALE,3334
2010-2011,PRIVATE,REGION 10,GRADE 3,FEMALE,2976
2010-2011,PRIVATE,REGION 10,GRADE 3,MALE,3274
2010-2011,PRIVATE,REGION 10,GRADE 4,FEMALE,2863
2010-2011,PRIVATE,REGION 10,GRADE 4,MALE,3128
2010-2011,PRIVATE,REGION 10,GRADE 5,FEMALE,2783
2010-2011,PRIVATE,REGION 10,GRADE 5,MALE,2992
2010-2011,PRIVATE,REGION 10,GRADE 6,FEMALE,2548
2010-2011,PRIVATE,REGION 10,GRADE 6,MALE,2830
2010-2011,PRIVATE,REGION 10,GRADE 7,FEMALE,9501
2010-2011,PRIVATE,REGION 10,GRADE 7,MALE,9501
2010-2011,PRIVATE,REGION 10,GRADE 8,FEMALE,9217
2010-2011,PRIVATE,REGION 10,GRADE 8,MALE,9269
2010-2011,PRIVATE,REGION 10,GRADE 9,FEMALE,8894
2010-2011,PRIVATE,REGION 10,GRADE 9,MALE,8543
2010-2011,PRIVATE,REGION 10,KINDERGARTEN,FEMALE,8382
2010-2011,PRIVATE,REGION 10,KINDERGARTEN,MALE,8985
2010-2011,PRIVATE,REGION 11,GRADE 1,FEMALE,4117
2010-2011,PRIVATE,REGION 11,GRADE 1,MALE,4718
2010-2011,PRIVATE,REGION 11,GRADE 10,FEMALE,6364
2010-2011,PRIVATE,REGION 11,GRADE 10,MALE,5811
2010-2011,PRIVATE,REGION 11,GRADE 2,FEMALE,3861
2010-2011,PRIVATE,REGION 11,GRADE 2,MALE,4251
2010-2011,PRIVATE,REGION 11,GRADE 3,FEMALE,3656
2010-2011,PRIVATE,REGION 11,GRADE 3,MALE,4098
2010-2011,PRIVATE,REGION 11,GRADE 4,FEMALE,3448
2010-2011,PRIVATE,REGION 11,GRADE 4,MALE,3759
2010-2011,PRIVATE,REGION 11,GRADE 5,FEMALE,3348
2010-2011,PRIVATE,REGION 11,GRADE 5,MALE,3528
2010-2011,PRIVATE,REGION 11,GRADE 6,FEMALE,3202
2010-2011,PRIVATE,REGION 11,GRADE 6,MALE,3377
2010-2011,PRIVATE,REGION 11,GRADE 7,FEMALE,7006
2010-2011,PRIVATE,REGION 11,GRADE 7,MALE,7251
2010-2011,PRIVATE,REGION 11,GRADE 8,FEMALE,6879
2010-2011,PRIVATE,REGION 11,GRADE 8,MALE,6886
2010-2011,PRIVATE,REGION 11,GRADE 9,FEMALE,6662
2010-2011,PRIVATE,REGION 11,GRADE 9,MALE,6152
2010-2011,PRIVATE,REGION 11,KINDERGARTEN,FEMALE,9799
2010-2011,PRIVATE,REGION 11,KINDERGARTEN,MALE,10366
2010-2011,PRIVATE,REGION 12,GRADE 1,FEMALE,3038
2010-2011,PRIVATE,REGION 12,GRADE 1,MALE,3375
2010-2011,PRIVATE,REGION 12,GRADE 10,FEMALE,6312
2010-2011,PRIVATE,REGION 12,GRADE 10,MALE,6138
2010-2011,PRIVATE,REGION 12,GRADE 2,FEMALE,2753
2010-2011,PRIVATE,REGION 12,GRADE 2,MALE,3155
2010-2011,PRIVATE,REGION 12,GRADE 3,FEMALE,2558
2010-2011,PRIVATE,REGION 12,GRADE 3,MALE,2936
2010-2011,PRIVATE,REGION 12,GRADE 4,FEMALE,2362
2010-2011,PRIVATE,REGION 12,GRADE 4,MALE,2543
2010-2011,PRIVATE,REGION 12,GRADE 5,FEMALE,2271
2010-2011,PRIVATE,REGION 12,GRADE 5,MALE,2416
2010-2011,PRIVATE,REGION 12,GRADE 6,FEMALE,2199
2010-2011,PRIVATE,REGION 12,GRADE 6,MALE,2225
2010-2011,PRIVATE,REGION 12,GRADE 7,FEMALE,7583
2010-2011,PRIVATE,REGION 12,GRADE 7,MALE,7872
2010-2011,PRIVATE,REGION 12,GRADE 8,FEMALE,7285
2010-2011,PRIVATE,REGION 12,GRADE 8,MALE,7012
2010-2011,PRIVATE,REGION 12,GRADE 9,FEMALE,6811
2010-2011,PRIVATE,REGION 12,GRADE 9,MALE,6734
2010-2011,PRIVATE,REGION 12,KINDERGARTEN,FEMALE,7740
2010-2011,PRIVATE,REGION 12,KINDERGARTEN,MALE,7855
2010-2011,PRIVATE,REGION 2,GRADE 1,FEMALE,2203
2010-2011,PRIVATE,REGION 2,GRADE 1,MALE,2367
2010-2011,PRIVATE,REGION 2,GRADE 10,FEMALE,5344
2010-2011,PRIVATE,REGION 2,GRADE 10,MALE,5212
2010-2011,PRIVATE,REGION 2,GRADE 2,FEMALE,2083
2010-2011,PRIVATE,REGION 2,GRADE 2,MALE,2210
2010-2011,PRIVATE,REGION 2,GRADE 3,FEMALE,2003
2010-2011,PRIVATE,REGION 2,GRADE 3,MALE,2166
2010-2011,PRIVATE,REGION 2,GRADE 4,FEMALE,1867
2010-2011,PRIVATE,REGION 2,GRADE 4,MALE,2060
2010-2011,PRIVATE,REGION 2,GRADE 5,FEMALE,1763
2010-2011,PRIVATE,REGION 2,GRADE 5,MALE,1963
2010-2011,PRIVATE,REGION 2,GRADE 6,FEMALE,1730
2010-2011,PRIVATE,REGION 2,GRADE 6,MALE,1805
2010-2011,PRIVATE,REGION 2,GRADE 7,FEMALE,6136
2010-2011,PRIVATE,REGION 2,GRADE 7,MALE,6330
2010-2011,PRIVATE,REGION 2,GRADE 8,FEMALE,6023
2010-2011,PRIVATE,REGION 2,GRADE 8,MALE,6032
2010-2011,PRIVATE,REGION 2,GRADE 9,FEMALE,5611
2010-2011,PRIVATE,REGION 2,GRADE 9,MALE,5354
2010-2011,PRIVATE,REGION 2,KINDERGARTEN,FEMALE,6050
2010-2011,PRIVATE,REGION 2,KINDERGARTEN,MALE,6146
2010-2011,PRIVATE,REGION 3,GRADE 1,FEMALE,14476
2010-2011,PRIVATE,REGION 3,GRADE 1,MALE,15629
2010-2011,PRIVATE,REGION 3,GRADE 10,FEMALE,21509
2010-2011,PRIVATE,REGION 3,GRADE 10,MALE,20934
2010-2011,PRIVATE,REGION 3,GRADE 2,FEMALE,14307
2010-2011,PRIVATE,REGION 3,GRADE 2,MALE,15484
2010-2011,PRIVATE,REGION 3,GRADE 3,FEMALE,13820
2010-2011,PRIVATE,REGION 3,GRADE 3,MALE,14876
2010-2011,PRIVATE,REGION 3,GRADE 4,FEMALE,13530
2010-2011,PRIVATE,REGION 3,GRADE 4,MALE,14347
2010-2011,PRIVATE,REGION 3,GRADE 5,FEMALE,13243
2010-2011,PRIVATE,REGION 3,GRADE 5,MALE,14028
2010-2011,PRIVATE,REGION 3,GRADE 6,FEMALE,12794
2010-2011,PRIVATE,REGION 3,GRADE 6,MALE,13107
2010-2011,PRIVATE,REGION 3,GRADE 7,FEMALE,25389
2010-2011,PRIVATE,REGION 3,GRADE 7,MALE,25282
2010-2011,PRIVATE,REGION 3,GRADE 8,FEMALE,24240
2010-2011,PRIVATE,REGION 3,GRADE 8,MALE,24254
2010-2011,PRIVATE,REGION 3,GRADE 9,FEMALE,22800
2010-2011,PRIVATE,REGION 3,GRADE 9,MALE,22157
2010-2011,PRIVATE,REGION 3,KINDERGARTEN,FEMALE,27569
2010-2011,PRIVATE,REGION 3,KINDERGARTEN,MALE,27973
2010-2011,PRIVATE,REGION 4A,GRADE 1,FEMALE,21348
2010-2011,PRIVATE,REGION 4A,GRADE 1,MALE,22742
2010-2011,PRIVATE,REGION 4A,GRADE 10,FEMALE,29047
2010-2011,PRIVATE,REGION 4A,GRADE 10,MALE,27951
2010-2011,PRIVATE,REGION 4A,GRADE 2,FEMALE,20955
2010-2011,PRIVATE,REGION 4A,GRADE 2,MALE,22185
2010-2011,PRIVATE,REGION 4A,GRADE 3,FEMALE,20604
2010-2011,PRIVATE,REGION 4A,GRADE 3,MALE,21723
2010-2011,PRIVATE,REGION 4A,GRADE 4,FEMALE,20453
2010-2011,PRIVATE,REGION 4A,GRADE 4,MALE,21448
2010-2011,PRIVATE,REGION 4A,GRADE 5,FEMALE,19948
2010-2011,PRIVATE,REGION 4A,GRADE 5,MALE,20650
2010-2011,PRIVATE,REGION 4A,GRADE 6,FEMALE,19237
2010-2011,PRIVATE,REGION 4A,GRADE 6,MALE,19954
2010-2011,PRIVATE,REGION 4A,GRADE 7,FEMALE,32450
2010-2011,PRIVATE,REGION 4A,GRADE 7,MALE,32976
2010-2011,PRIVATE,REGION 4A,GRADE 8,FEMALE,31397
2010-2011,PRIVATE,REGION 4A,GRADE 8,MALE,31263
2010-2011,PRIVATE,REGION 4A,GRADE 9,FEMALE,30097
2010-2011,PRIVATE,REGION 4A,GRADE 9,MALE,29409
2010-2011,PRIVATE,REGION 4A,KINDERGARTEN,FEMALE,37994
2010-2011,PRIVATE,REGION 4A,KINDERGARTEN,MALE,39517
2010-2011,PRIVATE,REGION 4B,GRADE 1,FEMALE,1316
2010-2011,PRIVATE,REGION 4B,GRADE 1,MALE,1399
2010-2011,PRIVATE,REGION 4B,GRADE 10,FEMALE,3702
2010-2011,PRIVATE,REGION 4B,GRADE 10,MALE,3405
2010-2011,PRIVATE,REGION 4B,GRADE 2,FEMALE,1216
2010-2011,PRIVATE,REGION 4B,GRADE 2,MALE,1400
2010-2011,PRIVATE,REGION 4B,GRADE 3,FEMALE,1244
2010-2011,PRIVATE,REGION 4B,GRADE 3,MALE,1298
2010-2011,PRIVATE,REGION 4B,GRADE 4,FEMALE,1208
2010-2011,PRIVATE,REGION 4B,GRADE 4,MALE,1262
2010-2011,PRIVATE,REGION 4B,GRADE 5,FEMALE,1119
2010-2011,PRIVATE,REGION 4B,GRADE 5,MALE,1242
2010-2011,PRIVATE,REGION 4B,GRADE 6,FEMALE,1066
2010-2011,PRIVATE,REGION 4B,GRADE 6,MALE,1108
2010-2011,PRIVATE,REGION 4B,GRADE 7,FEMALE,4272
2010-2011,PRIVATE,REGION 4B,GRADE 7,MALE,4262
2010-2011,PRIVATE,REGION 4B,GRADE 8,FEMALE,4118
2010-2011,PRIVATE,REGION 4B,GRADE 8,MALE,3908
2010-2011,PRIVATE,REGION 4B,GRADE 9,FEMALE,3759
2010-2011,PRIVATE,REGION 4B,GRADE 9,MALE,3601
2010-2011,PRIVATE,REGION 4B,KINDERGARTEN,FEMALE,3505
2010-2011,PRIVATE,REGION 4B,KINDERGARTEN,MALE,3604
2010-2011,PRIVATE,REGION 5,GRADE 1,FEMALE,2780
2010-2011,PRIVATE,REGION 5,GRADE 1,MALE,2923
2010-2011,PRIVATE,REGION 5,GRADE 10,FEMALE,6991
2010-2011,PRIVATE,REGION 5,GRADE 10,MALE,6506
2010-2011,PRIVATE,REGION 5,GRADE 2,FEMALE,2661
2010-2011,PRIVATE,REGION 5,GRADE 2,MALE,2807
2010-2011,PRIVATE,REGION 5,GRADE 3,FEMALE,2380
2010-2011,PRIVATE,REGION 5,GRADE 3,MALE,2541
2010-2011,PRIVATE,REGION 5,GRADE 4,FEMALE,2291
2010-2011,PRIVATE,REGION 5,GRADE 4,MALE,2462
2010-2011,PRIVATE,REGION 5,GRADE 5,FEMALE,2123
2010-2011,PRIVATE,REGION 5,GRADE 5,MALE,2352
2010-2011,PRIVATE,REGION 5,GRADE 6,FEMALE,2033
2010-2011,PRIVATE,REGION 5,GRADE 6,MALE,2231
2010-2011,PRIVATE,REGION 5,GRADE 7,FEMALE,8126
2010-2011,PRIVATE,REGION 5,GRADE 7,MALE,8352
2010-2011,PRIVATE,REGION 5,GRADE 8,FEMALE,7485
2010-2011,PRIVATE,REGION 5,GRADE 8,MALE,7507
2010-2011,PRIVATE,REGION 5,GRADE 9,FEMALE,7332
2010-2011,PRIVATE,REGION 5,GRADE 9,MALE,7142
2010-2011,PRIVATE,REGION 5,KINDERGARTEN,FEMALE,7961
2010-2011,PRIVATE,REGION 5,KINDERGARTEN,MALE,8230
2010-2011,PRIVATE,REGION 6,GRADE 1,FEMALE,4601
2010-2011,PRIVATE,REGION 6,GRADE 1,MALE,4900
2010-2011,PRIVATE,REGION 6,GRADE 10,FEMALE,8697
2010-2011,PRIVATE,REGION 6,GRADE 10,MALE,8499
2010-2011,PRIVATE,REGION 6,GRADE 2,FEMALE,4386
2010-2011,PRIVATE,REGION 6,GRADE 2,MALE,4624
2010-2011,PRIVATE,REGION 6,GRADE 3,FEMALE,4214
2010-2011,PRIVATE,REGION 6,GRADE 3,MALE,4348
2010-2011,PRIVATE,REGION 6,GRADE 4,FEMALE,4190
2010-2011,PRIVATE,REGION 6,GRADE 4,MALE,4411
2010-2011,PRIVATE,REGION 6,GRADE 5,FEMALE,3797
2010-2011,PRIVATE,REGION 6,GRADE 5,MALE,4051
2010-2011,PRIVATE,REGION 6,GRADE 6,FEMALE,3809
2010-2011,PRIVATE,REGION 6,GRADE 6,MALE,4123
2010-2011,PRIVATE,REGION 6,GRADE 7,FEMALE,9934
2010-2011,PRIVATE,REGION 6,GRADE 7,MALE,10292
2010-2011,PRIVATE,REGION 6,GRADE 8,FEMALE,9553
2010-2011,PRIVATE,REGION 6,GRADE 8,MALE,9790
2010-2011,PRIVATE,REGION 6,GRADE 9,FEMALE,9507
2010-2011,PRIVATE,REGION 6,GRADE 9,MALE,9284
2010-2011,PRIVATE,REGION 6,KINDERGARTEN,FEMALE,12898
2010-2011,PRIVATE,REGION 6,KINDERGARTEN,MALE,12941
2010-2011,PRIVATE,REGION 7,GRADE 1,FEMALE,5999
2010-2011,PRIVATE,REGION 7,GRADE 1,MALE,6170
2010-2011,PRIVATE,REGION 7,GRADE 10,FEMALE,13392
2010-2011,PRIVATE,REGION 7,GRADE 10,MALE,12627
2010-2011,PRIVATE,REGION 7,GRADE 2,FEMALE,5661
2010-2011,PRIVATE,REGION 7,GRADE 2,MALE,6277
2010-2011,PRIVATE,REGION 7,GRADE 3,FEMALE,5583
2010-2011,PRIVATE,REGION 7,GRADE 3,MALE,6027
2010-2011,PRIVATE,REGION 7,GRADE 4,FEMALE,5683
2010-2011,PRIVATE,REGION 7,GRADE 4,MALE,5841
2010-2011,PRIVATE,REGION 7,GRADE 5,FEMALE,5216
2010-2011,PRIVATE,REGION 7,GRADE 5,MALE,5542
2010-2011,PRIVATE,REGION 7,GRADE 6,FEMALE,5025
2010-2011,PRIVATE,REGION 7,GRADE 6,MALE,5332
2010-2011,PRIVATE,REGION 7,GRADE 7,FEMALE,14503
2010-2011,PRIVATE,REGION 7,GRADE 7,MALE,14869
2010-2011,PRIVATE,REGION 7,GRADE 8,FEMALE,14252
2010-2011,PRIVATE,REGION 7,GRADE 8,MALE,13947
2010-2011,PRIVATE,REGION 7,GRADE 9,FEMALE,14200
2010-2011,PRIVATE,REGION 7,GRADE 9,MALE,13436
2010-2011,PRIVATE,REGION 7,KINDERGARTEN,FEMALE,17670
2010-2011,PRIVATE,REGION 7,KINDERGARTEN,MALE,17877
2010-2011,PRIVATE,REGION 8,GRADE 1,FEMALE,1440
2010-2011,PRIVATE,REGION 8,GRADE 1,MALE,1472
2010-2011,PRIVATE,REGION 8,GRADE 10,FEMALE,4127
2010-2011,PRIVATE,REGION 8,GRADE 10,MALE,3808
2010-2011,PRIVATE,REGION 8,GRADE 2,FEMALE,1347
2010-2011,PRIVATE,REGION 8,GRADE 2,MALE,1460
2010-2011,PRIVATE,REGION 8,GRADE 3,FEMALE,1237
2010-2011,PRIVATE,REGION 8,GRADE 3,MALE,1470
2010-2011,PRIVATE,REGION 8,GRADE 4,FEMALE,1177
2010-2011,PRIVATE,REGION 8,GRADE 4,MALE,1352
2010-2011,PRIVATE,REGION 8,GRADE 5,FEMALE,1272
2010-2011,PRIVATE,REGION 8,GRADE 5,MALE,1291
2010-2011,PRIVATE,REGION 8,GRADE 6,FEMALE,1077
2010-2011,PRIVATE,REGION 8,GRADE 6,MALE,1201
2010-2011,PRIVATE,REGION 8,GRADE 7,FEMALE,5072
2010-2011,PRIVATE,REGION 8,GRADE 7,MALE,5064
2010-2011,PRIVATE,REGION 8,GRADE 8,FEMALE,4652
2010-2011,PRIVATE,REGION 8,GRADE 8,MALE,4679
2010-2011,PRIVATE,REGION 8,GRADE 9,FEMALE,4635
2010-2011,PRIVATE,REGION 8,GRADE 9,MALE,4445
2010-2011,PRIVATE,REGION 8,KINDERGARTEN,FEMALE,5045
2010-2011,PRIVATE,REGION 8,KINDERGARTEN,MALE,5311
2010-2011,PRIVATE,REGION 9,GRADE 1,FEMALE,1228
2010-2011,PRIVATE,REGION 9,GRADE 1,MALE,1354
2010-2011,PRIVATE,REGION 9,GRADE 10,FEMALE,3487
2010-2011,PRIVATE,REGION 9,GRADE 10,MALE,3343
2010-2011,PRIVATE,REGION 9,GRADE 2,FEMALE,1099
2010-2011,PRIVATE,REGION 9,GRADE 2,MALE,1258
2010-2011,PRIVATE,REGION 9,GRADE 3,FEMALE,1078
2010-2011,PRIVATE,REGION 9,GRADE 3,MALE,1149
2010-2011,PRIVATE,REGION 9,GRADE 4,FEMALE,1054
2010-2011,PRIVATE,REGION 9,GRADE 4,MALE,1125
2010-2011,PRIVATE,REGION 9,GRADE 5,FEMALE,909
2010-2011,PRIVATE,REGION 9,GRADE 5,MALE,1041
2010-2011,PRIVATE,REGION 9,GRADE 6,FEMALE,943
2010-2011,PRIVATE,REGION 9,GRADE 6,MALE,1029
2010-2011,PRIVATE,REGION 9,GRADE 7,FEMALE,3834
2010-2011,PRIVATE,REGION 9,GRADE 7,MALE,3785
2010-2011,PRIVATE,REGION 9,GRADE 8,FEMALE,3455
2010-2011,PRIVATE,REGION 9,GRADE 8,MALE,3463
2010-2011,PRIVATE,REGION 9,GRADE 9,FEMALE,3526
2010-2011,PRIVATE,REGION 9,GRADE 9,MALE,3383
2010-2011,PRIVATE,REGION 9,KINDERGARTEN,FEMALE,4413
2010-2011,PRIVATE,REGION 9,KINDERGARTEN,MALE,4446
2010-2011,PUBLIC,BARMM,GRADE 1,FEMALE,102878
2010-2011,PUBLIC,BARMM,GRADE 1,MALE,96364
2010-2011,PUBLIC,BARMM,GRADE 10,FEMALE,17474
2010-2011,PUBLIC,BARMM,GRADE 10,MALE,13384
2010-2011,PUBLIC,BARMM,GRADE 2,FEMALE,79247
2010-2011,PUBLIC,BARMM,GRADE 2,MALE,72828
2010-2011,PUBLIC,BARMM,GRADE 3,FEMALE,64798
2010-2011,PUBLIC,BARMM,GRADE 3,MALE,57691
2010-2011,PUBLIC,BARMM,GRADE 4,FEMALE,50661
2010-2011,PUBLIC,BARMM,GRADE 4,MALE,44770
2010-2011,PUBLIC,BARMM,GRADE 5,FEMALE,41274
2010-2011,PUBLIC,BARMM,GRADE 5,MALE,35057
2010-2011,PUBLIC,BARMM,GRADE 6,FEMALE,35938
2010-2011,PUBLIC,BARMM,GRADE 6,MALE,29741
2010-2011,PUBLIC,BARMM,GRADE 7,FEMALE,32019
2010-2011,PUBLIC,BARMM,GRADE 7,MALE,24979
2010-2011,PUBLIC,BARMM,GRADE 8,FEMALE,27192
2010-2011,PUBLIC,BARMM,GRADE 8,MALE,20747
2010-2011,PUBLIC,BARMM,GRADE 9,FEMALE,23630
2010-2011,PUBLIC,BARMM,GRADE 9,MALE,17990
2010-2011,PUBLIC,BARMM,KINDERGARTEN,FEMALE,29621
2010-2011,PUBLIC,BARMM,KINDERGARTEN,MALE,25600
2010-2011,PUBLIC,CAR,GRADE 1,FEMALE,20615
2010-2011,PUBLIC,CAR,GRADE 1,MALE,24630
2010-2011,PUBLIC,CAR,GRADE 10,FEMALE,10290
2010-2011,PUBLIC,CAR,GRADE 10,MALE,8666
2010-2011,PUBLIC,CAR,GRADE 2,FEMALE,17696
2010-2011,PUBLIC,CAR,GRADE 2,MALE,20313
2010-2011,PUBLIC,CAR,GRADE 3,FEMALE,16889
2010-2011,PUBLIC,CAR,GRADE 3,MALE,18867
2010-2011,PUBLIC,CAR,GRADE 4,FEMALE,16792
2010-2011,PUBLIC,CAR,GRADE 4,MALE,17968
2010-2011,PUBLIC,CAR,GRADE 5,FEMALE,16083
2010-2011,PUBLIC,CAR,GRADE 5,MALE,16994
2010-2011,PUBLIC,CAR,GRADE 6,FEMALE,15196
