SCHOOL YEAR,SECTOR,REGION,GRADE LEVEL,GENDER,NUMBER OF ENROLLEES
2010-2011,PUBLIC,REGION 4A,GRADE 9,MALE ,"81,025"
2010-2011,PUBLIC,REGION 4B,GRADE 9,MALE ,"21,280"
2010-2011,PUBLIC,REGION 5,GRADE 9,MALE ,"42,737"
2010-2011,PUBLIC,REGION 6,GRADE 9,MALE ,"56,022"
2010-2011,PUBLIC,REGION 7,GRADE 9,MALE ,"45,928"
2010-2011,PUBLIC,REGION 8,GRADE 9,MALE ,"32,103"
2010-2011,PUBLIC,REGION 9,GRADE 9,MALE ,"23,168"
2010-2011,PUBLIC,REGION 10,GRADE 9,MALE ,"25,496"
2010-2011,PUBLIC,REGION 11,GRADE 9,MALE ,"26,574"
2010-2011,PUBLIC,REGION 12,GRADE 9,MALE ,"25,617"
2010-2011,PUBLIC,CARAGA,GRADE 9,MALE ,"17,743"
2010-2011,PUBLIC,BARMM,GRADE 9,MALE ,"17,990"
2010-2011,PUBLIC,CAR,GRADE 9,MALE ,"9,923"
2010-2011,PUBLIC,NCR,GRADE 9,MALE ,"78,368"
2010-2011,PUBLIC,REGION 1,GRADE 10,MALE ,"33,812"
2010-2011,PUBLIC,REGION 2,GRADE 10,MALE ,"20,532"
2010-2011,PUBLIC,REGION 3,GRADE 10,MALE ,"57,981"
2010-2011,PUBLIC,REGION 4A,GRADE 10,MALE ,"67,532"
2010-2011,PUBLIC,REGION 4B,GRADE 10,MALE ,"17,983"
2010-2011,PUBLIC,REGION 5,GRADE 10,MALE ,"36,211"
2010-2011,PUBLIC,REGION 6,GRADE 10,MALE ,"47,888"
2010-2011,PUBLIC,REGION 7,GRADE 10,MALE ,"38,653"
2010-2011,PUBLIC,REGION 8,GRADE 10,MALE ,"25,982"
2010-2011,PUBLIC,REGION 9,GRADE 10,MALE ,"19,185"
2010-2011,PUBLIC,REGION 10,GRADE 10,MALE ,"20,857"
2010-2011,PUBLIC,REGION 11,GRADE 10,MALE ,"22,575"
2010-2011,PUBLIC,REGION 12,GRADE 10,MALE ,"22,096"
2010-2011,PUBLIC,CARAGA,GRADE 10,MALE ,"14,746"
2010-2011,PUBLIC,BARMM,GRADE 10,MALE ,"13,384"
2010-2011,PUBLIC,CAR,GRADE 10,MALE ,"8,666"
2010-2011,PUBLIC,NCR,GRADE 10,MALE ,"66,209"
2010-2011,PRIVATE,REGION 1,GRADE 7,MALE ,"9,935"
2010-2011,PRIVATE,REGION 2,GRADE 7,MALE ,"6,330"
2010-2011,PRIVATE,REGION 3,GRADE 7,MALE ,"25,282"
2010-2011,PRIVATE,REGION 4A,GRADE 7,MALE ,"32,976"
2010-2011,PRIVATE,REGION 4B,GRADE 7,MALE ,"4,262"
2010-2011,PRIVATE,REGION 5,GRADE 7,MALE ,"8,352"
2010-2011,PRIVATE,REGION 6,GRADE 7,MALE ,"10,292"
2010-2011,PRIVATE,REGION 7,GRADE 7,MALE ,"14,869"
2010-2011,PRIVATE,REGION 8,GRADE 7,MALE ,"5,064"
2010-2011,PRIVATE,REGION 9,GRADE 7,MALE ,"3,785"
2010-2011,PRIVATE,REGION 10,GRADE 7,MALE ,"9,501"
2010-2011,PRIVATE,REGION 11,GRADE 7,MALE ,"7,251"
2010-2011,PRIVATE,REGION 12,GRADE 7,MALE ,"7,872"
2010-2011,PRIVATE,CARAGA,GRADE 7,MALE ,"3,343"
2010-2011,PRIVATE,BARMM,GRADE 7,MALE ,"3,756"
2010-2011,PRIVATE,CAR,GRADE 7,MALE ,"4,682"
2010-2011,PRIVATE,NCR,GRADE 7,MALE ,"29,848"
2010-2011,PRIVATE,REGION 1,GRADE 8,MALE ,"9,210"
2010-2011,PRIVATE,REGION 2,GRADE 8,MALE ,"6,032"
2010-2011,PRIVATE,REGION 3,GRADE 8,MALE ,"24,254"
2010-2011,PRIVATE,REGION 4A,GRADE 8,MALE ,"31,263"
2010-2011,PRIVATE,REGION 4B,GRADE 8,MALE ,"3,908"
2010-2011,PRIVATE,REGION 5,GRADE 8,MALE ,"7,507"
2010-2011,PRIVATE,REGION 6,GRADE 8,MALE ,"9,790"
2010-2011,PRIVATE,REGION 7,GRADE 8,MALE ,"13,947"
2010-2011,PRIVATE,REGION 8,GRADE 8,MALE ,"4,679"
2010-2011,PRIVATE,REGION 9,GRADE 8,MALE ,"3,463"
2010-2011,PRIVATE,REGION 10,GRADE 8,MALE ,"9,269"
2010-2011,PRIVATE,REGION 11,GRADE 8,MALE ,"6,886"
2010-2011,PRIVATE,REGION 12,GRADE 8,MALE ,"7,012"
2010-2011,PRIVATE,CARAGA,GRADE 8,MALE ,"3,155"
2010-2011,PRIVATE,BARMM,GRADE 8,MALE ,"3,372"
2010-2011,PRIVATE,CAR,GRADE 8,MALE ,"4,072"
2010-2011,PRIVATE,NCR,GRADE 8,MALE ,"28,331"
2010-2011,PRIVATE,REGION 1,GRADE 9,MALE ,"8,564"
2010-2011,PRIVATE,REGION 2,GRADE 9,MALE ,"5,354"
2010-2011,PRIVATE,REGION 3,GRADE 9,MALE ,"22,157"
2010-2011,PRIVATE,REGION 4A,GRADE 9,MALE ,"29,409"
2010-2011,PRIVATE,REGION 4B,GRADE 9,MALE ,"3,601"
2010-2011,PRIVATE,REGION 5,GRADE 9,MALE ,"7,142"
2010-2011,PRIVATE,REGION 6,GRADE 9,MALE ,"9,284"
2010-2011,PRIVATE,REGION 7,GRADE 9,MALE ,"13,436"
2010-2011,PRIVATE,REGION 8,GRADE 9,MALE ,"4,445"
2010-2011,PRIVATE,REGION 9,GRADE 9,MALE ,"3,383"
2010-2011,PRIVATE,REGION 10,GRADE 9,MALE ,"8,543"
2010-2011,PRIVATE,REGION 11,GRADE 9,MALE ,"6,152"
2010-2011,PRIVATE,REGION 12,GRADE 9,MALE ,"6,734"
2010-2011,PRIVATE,CARAGA,GRADE 9,MALE ,"3,060"
2010-2011,PRIVATE,BARMM,GRADE 9,MALE ,"2,801"
2010-2011,PRIVATE,CAR,GRADE 9,MALE ,"3,768"
2010-2011,PRIVATE,NCR,GRADE 9,MALE ,"26,734"
2010-2011,PRIVATE,REGION 1,GRADE 10,MALE ,"7,945"
2010-2011,PRIVATE,REGION 2,GRADE 10,MALE ,"5,212"
2010-2011,PRIVATE,REGION 3,GRADE 10,MALE ,"20,934"
2010-2011,PRIVATE,REGION 4A,GRADE 10,MALE ,"27,951"
2010-2011,PRIVATE,REGION 4B,GRADE 10,MALE ,"3,405"
2010-2011,PRIVATE,REGION 5,GRADE 10,MALE ,"6,506"
2010-2011,PRIVATE,REGION 6,GRADE 10,MALE ,"8,499"
2010-2011,PRIVATE,REGION 7,GRADE 10,MALE ,"12,627"
2010-2011,PRIVATE,REGION 8,GRADE 10,MALE ,"3,808"
2010-2011,PRIVATE,REGION 9,GRADE 10,MALE ,"3,343"
2010-2011,PRIVATE,REGION 10,GRADE 10,MALE ,"8,122"
2010-2011,PRIVATE,REGION 11,GRADE 10,MALE ,"5,811"
2010-2011,PRIVATE,REGION 12,GRADE 10,MALE ,"6,138"
2010-2011,PRIVATE,CARAGA,GRADE 10,MALE ,"2,950"
2010-2011,PRIVATE,BARMM,GRADE 10,MALE ,"2,460"
2010-2011,PRIVATE,CAR,GRADE 10,MALE ,"3,707"
2010-2011,PRIVATE,NCR,GRADE 10,MALE ,"25,046"
2010-2011,SUCSLUCS,REGION 1,GRADE 7,MALE ,261
2010-2011,SUCSLUCS,REGION 2,GRADE 7,MALE ,280
2010-2011,SUCSLUCS,REGION 3,GRADE 7,MALE ,"1,003"
2010-2011,SUCSLUCS,REGION 4A,GRADE 7,MALE ,491
2010-2011,SUCSLUCS,REGION 4B,GRADE 7,MALE ,362
2010-2011,SUCSLUCS,REGION 5,GRADE 7,MALE ,345
2010-2011,SUCSLUCS,REGION 6,GRADE 7,MALE ,362
2010-2011,SUCSLUCS,REGION 7,GRADE 7,MALE ,212
2010-2011,SUCSLUCS,REGION 8,GRADE 7,MALE ,355
2010-2011,SUCSLUCS,REGION 9,GRADE 7,MALE ,454
2010-2011,SUCSLUCS,REGION 10,GRADE 7,MALE ,332
2010-2011,SUCSLUCS,REGION 11,GRADE 7,MALE ,132
2010-2011,SUCSLUCS,REGION 12,GRADE 7,MALE ,214
2010-2011,SUCSLUCS,CARAGA,GRADE 7,MALE ,306
2010-2011,SUCSLUCS,BARMM,GRADE 7,MALE ,233
2010-2011,SUCSLUCS,CAR,GRADE 7,MALE ,408
2010-2011,SUCSLUCS,NCR,GRADE 7,MALE ,382
2010-2011,SUCSLUCS,REGION 1,GRADE 8,MALE ,239
2010-2011,SUCSLUCS,REGION 2,GRADE 8,MALE ,225
2010-2011,SUCSLUCS,REGION 3,GRADE 8,MALE ,904
2010-2011,SUCSLUCS,REGION 4A,GRADE 8,MALE ,448
2010-2011,SUCSLUCS,REGION 4B,GRADE 8,MALE ,332
2010-2011,SUCSLUCS,REGION 5,GRADE 8,MALE ,328
2010-2011,SUCSLUCS,REGION 6,GRADE 8,MALE ,551
2010-2011,SUCSLUCS,REGION 7,GRADE 8,MALE ,196
2010-2011,SUCSLUCS,REGION 8,GRADE 8,MALE ,318
2010-2011,SUCSLUCS,REGION 9,GRADE 8,MALE ,363
2010-2011,SUCSLUCS,REGION 10,GRADE 8,MALE ,322
2010-2011,SUCSLUCS,REGION 11,GRADE 8,MALE ,125
2010-2011,SUCSLUCS,REGION 12,GRADE 8,MALE ,217
2010-2011,SUCSLUCS,CARAGA,GRADE 8,MALE ,216
2010-2011,SUCSLUCS,BARMM,GRADE 8,MALE ,251
2010-2011,SUCSLUCS,CAR,GRADE 8,MALE ,339
2010-2011,SUCSLUCS,NCR,GRADE 8,MALE ,333
2010-2011,SUCSLUCS,REGION 1,GRADE 9,MALE ,235
2010-2011,SUCSLUCS,REGION 2,GRADE 9,MALE ,155
2010-2011,SUCSLUCS,REGION 3,GRADE 9,MALE ,791
2010-2011,SUCSLUCS,REGION 4A,GRADE 9,MALE ,459
2010-2011,SUCSLUCS,REGION 4B,GRADE 9,MALE ,350
2010-2011,SUCSLUCS,REGION 5,GRADE 9,MALE ,315
2010-2011,SUCSLUCS,REGION 6,GRADE 9,MALE ,501
2010-2011,SUCSLUCS,REGION 7,GRADE 9,MALE ,183
2010-2011,SUCSLUCS,REGION 8,GRADE 9,MALE ,322
2010-2011,SUCSLUCS,REGION 9,GRADE 9,MALE ,343
2010-2011,SUCSLUCS,REGION 10,GRADE 9,MALE ,371
2010-2011,SUCSLUCS,REGION 11,GRADE 9,MALE ,120
2010-2011,SUCSLUCS,REGION 12,GRADE 9,MALE ,170
2010-2011,SUCSLUCS,CARAGA,GRADE 9,MALE ,234
2010-2011,SUCSLUCS,BARMM,GRADE 9,MALE ,212
2010-2011,SUCSLUCS,CAR,GRADE 9,MALE ,305
2010-2011,SUCSLUCS,NCR,GRADE 9,MALE ,301
2010-2011,SUCSLUCS,REGION 1,GRADE 10,MALE ,258
2010-2011,SUCSLUCS,REGION 2,GRADE 10,MALE ,152
2010-2011,SUCSLUCS,REGION 3,GRADE 10,MALE ,697
2010-2011,SUCSLUCS,REGION 4A,GRADE 10,MALE ,447
2010-2011,SUCSLUCS,REGION 4B,GRADE 10,MALE ,282
2010-2011,SUCSLUCS,REGION 5,GRADE 10,MALE ,323
2010-2011,SUCSLUCS,REGION 6,GRADE 10,MALE ,486
2010-2011,SUCSLUCS,REGION 7,GRADE 10,MALE ,187
2010-2011,SUCSLUCS,REGION 8,GRADE 10,MALE ,298
2010-2011,SUCSLUCS,REGION 9,GRADE 10,MALE ,314
2010-2011,SUCSLUCS,REGION 10,GRADE 10,MALE ,359
2010-2011,SUCSLUCS,REGION 11,GRADE 10,MALE ,114
2010-2011,SUCSLUCS,REGION 12,GRADE 10,MALE ,142
2010-2011,SUCSLUCS,CARAGA,GRADE 10,MALE ,245
2010-2011,SUCSLUCS,BARMM,GRADE 10,MALE ,193
2010-2011,SUCSLUCS,CAR,GRADE 10,MALE ,273
2010-2011,SUCSLUCS,NCR,GRADE 10,MALE ,248
2010-2011,PUBLIC,REGION 1,GRADE 7,FEMALE,"40,153"
2010-2011,PUBLIC,REGION 2,GRADE 7,FEMALE,"26,701"
2010-2011,PUBLIC,REGION 3,GRADE 7,FEMALE,"80,955"
2010-2011,PUBLIC,REGION 4A,GRADE 7,FEMALE,"98,062"
2010-2011,PUBLIC,REGION 4B,GRADE 7,FEMALE,"27,036"
2010-2011,PUBLIC,REGION 5,GRADE 7,FEMALE,"55,580"
2010-2011,PUBLIC,REGION 6,GRADE 7,FEMALE,"63,536"
2010-2011,PUBLIC,REGION 7,GRADE 7,FEMALE,"58,527"
2010-2011,PUBLIC,REGION 8,GRADE 7,FEMALE,"43,752"
2010-2011,PUBLIC,REGION 9,GRADE 7,FEMALE,"32,145"
2010-2011,PUBLIC,REGION 10,GRADE 7,FEMALE,"34,465"
2010-2011,PUBLIC,REGION 11,GRADE 7,FEMALE,"37,102"
2010-2011,PUBLIC,REGION 12,GRADE 7,FEMALE,"34,252"
2010-2011,PUBLIC,CARAGA,GRADE 7,FEMALE,"22,994"
2010-2011,PUBLIC,BARMM,GRADE 7,FEMALE,"32,019"
2010-2011,PUBLIC,CAR,GRADE 7,FEMALE,"11,800"
2010-2011,PUBLIC,NCR,GRADE 7,FEMALE,"93,751"
2010-2011,PUBLIC,REGION 1,GRADE 8,FEMALE,"38,292"
2010-2011,PUBLIC,REGION 2,GRADE 8,FEMALE,"25,403"
2010-2011,PUBLIC,REGION 3,GRADE 8,FEMALE,"75,403"
2010-2011,PUBLIC,REGION 4A,GRADE 8,FEMALE,"90,857"
2010-2011,PUBLIC,REGION 4B,GRADE 8,FEMALE,"24,228"
2010-2011,PUBLIC,REGION 5,GRADE 8,FEMALE,"49,700"
2010-2011,PUBLIC,REGION 6,GRADE 8,FEMALE,"59,579"
2010-2011,PUBLIC,REGION 7,GRADE 8,FEMALE,"53,065"
2010-2011,PUBLIC,REGION 8,GRADE 8,FEMALE,"38,176"
2010-2011,PUBLIC,REGION 9,GRADE 8,FEMALE,"28,314"
2010-2011,PUBLIC,REGION 10,GRADE 8,FEMALE,"30,088"
2010-2011,PUBLIC,REGION 11,GRADE 8,FEMALE,"33,112"
2010-2011,PUBLIC,REGION 12,GRADE 8,FEMALE,"30,894"
2010-2011,PUBLIC,CARAGA,GRADE 8,FEMALE,"21,147"
2010-2011,PUBLIC,BARMM,GRADE 8,FEMALE,"27,192"
2010-2011,PUBLIC,CAR,GRADE 8,FEMALE,"11,355"
2010-2011,PUBLIC,NCR,GRADE 8,FEMALE,"88,344"
2010-2011,PUBLIC,REGION 1,GRADE 9,FEMALE,"36,224"
2010-2011,PUBLIC,REGION 2,GRADE 9,FEMALE,"24,098"
2010-2011,PUBLIC,REGION 3,GRADE 9,FEMALE,"69,812"
2010-2011,PUBLIC,REGION 4A,GRADE 9,FEMALE,"84,527"
2010-2011,PUBLIC,REGION 4B,GRADE 9,FEMALE,"22,260"
2010-2011,PUBLIC,REGION 5,GRADE 9,FEMALE,"46,137"
2010-2011,PUBLIC,REGION 6,GRADE 9,FEMALE,"57,419"
2010-2011,PUBLIC,REGION 7,GRADE 9,FEMALE,"49,550"
2010-2011,PUBLIC,REGION 8,GRADE 9,FEMALE,"34,192"
2010-2011,PUBLIC,REGION 9,GRADE 9,FEMALE,"25,434"
2010-2011,PUBLIC,REGION 10,GRADE 9,FEMALE,"27,729"
2010-2011,PUBLIC,REGION 11,GRADE 9,FEMALE,"29,679"
2010-2011,PUBLIC,REGION 12,GRADE 9,FEMALE,"27,958"
2010-2011,PUBLIC,CARAGA,GRADE 9,FEMALE,"18,765"
2010-2011,PUBLIC,BARMM,GRADE 9,FEMALE,"23,630"
2010-2011,PUBLIC,CAR,GRADE 9,FEMALE,"10,777"
2010-2011,PUBLIC,NCR,GRADE 9,FEMALE,"82,076"
2010-2011,PUBLIC,REGION 1,GRADE 10,FEMALE,"34,906"
2010-2011,PUBLIC,REGION 2,GRADE 10,FEMALE,"22,453"
2010-2011,PUBLIC,REGION 3,GRADE 10,FEMALE,"62,784"
2010-2011,PUBLIC,REGION 4A,GRADE 10,FEMALE,"75,476"
2010-2011,PUBLIC,REGION 4B,GRADE 10,FEMALE,"20,334"
2010-2011,PUBLIC,REGION 5,GRADE 10,FEMALE,"42,016"
2010-2011,PUBLIC,REGION 6,GRADE 10,FEMALE,"51,913"
2010-2011,PUBLIC,REGION 7,GRADE 10,FEMALE,"44,221"
2010-2011,PUBLIC,REGION 8,GRADE 10,FEMALE,"29,763"
2010-2011,PUBLIC,REGION 9,GRADE 10,FEMALE,"22,432"
2010-2011,PUBLIC,REGION 10,GRADE 10,FEMALE,"24,419"
2010-2011,PUBLIC,REGION 11,GRADE 10,FEMALE,"26,544"
2010-2011,PUBLIC,REGION 12,GRADE 10,FEMALE,"24,967"
2010-2011,PUBLIC,CARAGA,GRADE 10,FEMALE,"16,568"
2010-2011,PUBLIC,BARMM,GRADE 10,FEMALE,"17,474"
2010-2011,PUBLIC,CAR,GRADE 10,FEMALE,"10,290"
2010-2011,PUBLIC,NCR,GRADE 10,FEMALE,"73,786"
2010-2011,PRIVATE,REGION 1,GRADE 7,FEMALE,"9,424"
2010-2011,PRIVATE,REGION 2,GRADE 7,FEMALE,"6,136"
2010-2011,PRIVATE,REGION 3,GRADE 7,FEMALE,"25,389"
2010-2011,PRIVATE,REGION 4A,GRADE 7,FEMALE,"32,450"
2010-2011,PRIVATE,REGION 4B,GRADE 7,FEMALE,"4,272"
2010-2011,PRIVATE,REGION 5,GRADE 7,FEMALE,"8,126"
2010-2011,PRIVATE,REGION 6,GRADE 7,FEMALE,"9,934"
2010-2011,PRIVATE,REGION 7,GRADE 7,FEMALE,"14,503"
2010-2011,PRIVATE,REGION 8,GRADE 7,FEMALE,"5,072"
2010-2011,PRIVATE,REGION 9,GRADE 7,FEMALE,"3,834"
2010-2011,PRIVATE,REGION 10,GRADE 7,FEMALE,"9,501"
2010-2011,PRIVATE,REGION 11,GRADE 7,FEMALE,"7,006"
2010-2011,PRIVATE,REGION 12,GRADE 7,FEMALE,"7,583"
2010-2011,PRIVATE,CARAGA,GRADE 7,FEMALE,"3,322"
2010-2011,PRIVATE,BARMM,GRADE 7,FEMALE,"4,834"
2010-2011,PRIVATE,CAR,GRADE 7,FEMALE,"4,590"
2010-2011,PRIVATE,NCR,GRADE 7,FEMALE,"28,655"
2010-2011,PRIVATE,REGION 1,GRADE 8,FEMALE,"8,988"
2010-2011,PRIVATE,REGION 2,GRADE 8,FEMALE,"6,023"
2010-2011,PRIVATE,REGION 3,GRADE 8,FEMALE,"24,240"
2010-2011,PRIVATE,REGION 4A,GRADE 8,FEMALE,"31,397"
2010-2011,PRIVATE,REGION 4B,GRADE 8,FEMALE,"4,118"
2010-2011,PRIVATE,REGION 5,GRADE 8,FEMALE,"7,485"
2010-2011,PRIVATE,REGION 6,GRADE 8,FEMALE,"9,553"
2010-2011,PRIVATE,REGION 7,GRADE 8,FEMALE,"14,252"
2010-2011,PRIVATE,REGION 8,GRADE 8,FEMALE,"4,652"
2010-2011,PRIVATE,REGION 9,GRADE 8,FEMALE,"3,455"
2010-2011,PRIVATE,REGION 10,GRADE 8,FEMALE,"9,217"
2010-2011,PRIVATE,REGION 11,GRADE 8,FEMALE,"6,879"
2010-2011,PRIVATE,REGION 12,GRADE 8,FEMALE,"7,285"
2010-2011,PRIVATE,CARAGA,GRADE 8,FEMALE,"3,118"
2010-2011,PRIVATE,BARMM,GRADE 8,FEMALE,"4,398"
2010-2011,PRIVATE,CAR,GRADE 8,FEMALE,"4,380"
2010-2011,PRIVATE,NCR,GRADE 8,FEMALE,"27,513"
2010-2011,PRIVATE,REGION 1,GRADE 9,FEMALE,"8,582"
2010-2011,PRIVATE,REGION 2,GRADE 9,FEMALE,"5,611"
2010-2011,PRIVATE,REGION 3,GRADE 9,FEMALE,"22,800"
2010-2011,PRIVATE,REGION 4A,GRADE 9,FEMALE,"30,097"
2010-2011,PRIVATE,REGION 4B,GRADE 9,FEMALE,"3,759"
2010-2011,PRIVATE,REGION 5,GRADE 9,FEMALE,"7,332"
2010-2011,PRIVATE,REGION 6,GRADE 9,FEMALE,"9,507"
2010-2011,PRIVATE,REGION 7,GRADE 9,FEMALE,"14,200"
2010-2011,PRIVATE,REGION 8,GRADE 9,FEMALE,"4,635"
2010-2011,PRIVATE,REGION 9,GRADE 9,FEMALE,"3,526"
2010-2011,PRIVATE,REGION 10,GRADE 9,FEMALE,"8,894"
2010-2011,PRIVATE,REGION 11,GRADE 9,FEMALE,"6,662"
2010-2011,PRIVATE,REGION 12,GRADE 9,FEMALE,"6,811"
2010-2011,PRIVATE,CARAGA,GRADE 9,FEMALE,"2,938"
2010-2011,PRIVATE,BARMM,GRADE 9,FEMALE,"3,651"
2010-2011,PRIVATE,CAR,GRADE 9,FEMALE,"4,186"
2010-2011,PRIVATE,NCR,GRADE 9,FEMALE,"26,489"
2010-2011,PRIVATE,REGION 1,GRADE 10,FEMALE,"8,216"
2010-2011,PRIVATE,REGION 2,GRADE 10,FEMALE,"5,344"
2010-2011,PRIVATE,REGION 3,GRADE 10,FEMALE,"21,509"
2010-2011,PRIVATE,REGION 4A,GRADE 10,FEMALE,"29,047"
2010-2011,PRIVATE,REGION 4B,GRADE 10,FEMALE,"3,702"
2010-2011,PRIVATE,REGION 5,GRADE 10,FEMALE,"6,991"
2010-2011,PRIVATE,REGION 6,GRADE 10,FEMALE,"8,697"
2010-2011,PRIVATE,REGION 7,GRADE 10,FEMALE,"13,392"
2010-2011,PRIVATE,REGION 8,GRADE 10,FEMALE,"4,127"
2010-2011,PRIVATE,REGION 9,GRADE 10,FEMALE,"3,487"
2010-2011,PRIVATE,REGION 10,GRADE 10,FEMALE,"8,354"
2010-2011,PRIVATE,REGION 11,GRADE 10,FEMALE,"6,364"
2010-2011,PRIVATE,REGION 12,GRADE 10,FEMALE,"6,312"
2010-2011,PRIVATE,CARAGA,GRADE 10,FEMALE,"2,940"
2010-2011,PRIVATE,BARMM,GRADE 10,FEMALE,"3,268"
2010-2011,PRIVATE,CAR,GRADE 10,FEMALE,"4,154"
2010-2011,PRIVATE,NCR,GRADE 10,FEMALE,"24,961"
2010-2011,SUCSLUCS,REGION 1,GRADE 7,FEMALE,376
2010-2011,SUCSLUCS,REGION 2,GRADE 7,FEMALE,333
2010-2011,SUCSLUCS,REGION 3,GRADE 7,FEMALE,"1,145"
2010-2011,SUCSLUCS,REGION 4A,GRADE 7,FEMALE,568
2010-2011,SUCSLUCS,REGION 4B,GRADE 7,FEMALE,421
2010-2011,SUCSLUCS,REGION 5,GRADE 7,FEMALE,406
2010-2011,SUCSLUCS,REGION 6,GRADE 7,FEMALE,433
2010-2011,SUCSLUCS,REGION 7,GRADE 7,FEMALE,306
2010-2011,SUCSLUCS,REGION 8,GRADE 7,FEMALE,447
2010-2011,SUCSLUCS,REGION 9,GRADE 7,FEMALE,490
2010-2011,SUCSLUCS,REGION 10,GRADE 7,FEMALE,462
2010-2011,SUCSLUCS,REGION 11,GRADE 7,FEMALE,170
2010-2011,SUCSLUCS,REGION 12,GRADE 7,FEMALE,266
2010-2011,SUCSLUCS,CARAGA,GRADE 7,FEMALE,299
2010-2011,SUCSLUCS,BARMM,GRADE 7,FEMALE,224
2010-2011,SUCSLUCS,CAR,GRADE 7,FEMALE,374
2010-2011,SUCSLUCS,NCR,GRADE 7,FEMALE,356
2010-2011,SUCSLUCS,REGION 1,GRADE 8,FEMALE,364
2010-2011,SUCSLUCS,REGION 2,GRADE 8,FEMALE,296
2010-2011,SUCSLUCS,REGION 3,GRADE 8,FEMALE,"1,072"
2010-2011,SUCSLUCS,REGION 4A,GRADE 8,FEMALE,513
2010-2011,SUCSLUCS,REGION 4B,GRADE 8,FEMALE,381
2010-2011,SUCSLUCS,REGION 5,GRADE 8,FEMALE,413
2010-2011,SUCSLUCS,REGION 6,GRADE 8,FEMALE,622
2010-2011,SUCSLUCS,REGION 7,GRADE 8,FEMALE,300
2010-2011,SUCSLUCS,REGION 8,GRADE 8,FEMALE,451
2010-2011,SUCSLUCS,REGION 9,GRADE 8,FEMALE,481
2010-2011,SUCSLUCS,REGION 10,GRADE 8,FEMALE,450
2010-2011,SUCSLUCS,REGION 11,GRADE 8,FEMALE,137
2010-2011,SUCSLUCS,REGION 12,GRADE 8,FEMALE,281
2010-2011,SUCSLUCS,CARAGA,GRADE 8,FEMALE,279
2010-2011,SUCSLUCS,BARMM,GRADE 8,FEMALE,398
2010-2011,SUCSLUCS,CAR,GRADE 8,FEMALE,362
2010-2011,SUCSLUCS,NCR,GRADE 8,FEMALE,333
2010-2011,SUCSLUCS,REGION 1,GRADE 9,FEMALE,318
2010-2011,SUCSLUCS,REGION 2,GRADE 9,FEMALE,224
2010-2011,SUCSLUCS,REGION 3,GRADE 9,FEMALE,"1,023"
